d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
632,1023,341,1.0950496394860345,1.0950496394860345,193.6365747085178,5437949246,0.455845354848828,dw,72,72,1606,107973642189983.0,4.11791257069081e+15,4.08676537961614e+16,188830616250062.0,1.35632643682486e+15,70749852302569.0
640,1023,341,1.0953740482564718,1.0953740482564718,195.77817979525244,6870405194,0.456167258775852,dw,73,73,1607,150654621202188.0,5.6827059148726e+15,5.66551496430427e+16,260499864200623.0,1.87179014694547e+15,98282585840705.0
648,1023,341,1.0956889079856633,1.0956889079856633,197.91966928012175,8679708623,0.456483276206244,dw,74,74,1608,210143175647836.0,7.84073270656561e+15,7.85304578326373e+16,359307304790719.0,2.58269715427898e+15,136499250253393.0
656,1023,341,1.095996105879045,1.095996105879045,200.06104620441815,10962807074,0.456793780024726,dw,75,75,1609,293074669432159.0,1.08178842109826e+16,1.0885200809999e+17,495574385838927.0,3.56347743759897e+15,189560437403140.0
664,1023,341,1.0962964263724033,1.0962964263724033,202.20231340805344,13842250469,0.457099080422474,dw,76,76,1610,408689232927057.0,1.49256341802498e+16,1.50887975563212e+17,683528280397654.0,4.91676347910062e+15,263238698064371.0
672,1023,341,1.0965897996915792,1.0965897996915792,204.34347352549577,17473544424,0.457399435688661,dw,77,77,1611,569834737817459.0,2.05928182141722e+16,2.09160732765647e+17,942750343775753.0,6.78386409254823e+15,365531138513575.0
680,1023,341,1.0968764871108012,1.0968764871108012,206.48452899578388,22051933949,0.457695090748477,dw,78,78,1612,794415297416498.0,2.84113804284373e+16,2.89943760136887e+17,1.30026093551504e+15,9.3598417734072e+15,507543106682763.0
688,1023,341,1.0971565379527008,1.0971565379527008,208.62548207699518,27823864303,0.457986262441299,dw,79,79,1613,1.10734539178223e+15,3.91972175361731e+16,4.01927748889329e+17,1.79329084588835e+15,1.2913566979008e+16,704674340225055.0
696,1023,341,1.0974304278753557,1.0974304278753557,210.76633485982435,35097908795,0.458273160566352,dw,80,80,1614,1.54335931653032e+15,5.407730860441e+16,5.57176929156302e+17,2.47324944866574e+15,1.78164366289002e+16,978321909850807.0
704,1023,341,1.0976982517609584,1.0976982517609584,212.90708927940526,44263694118,0.458555965129206,dw,81,81,1615,2.15077956781042e+15,7.46048879484383e+16,7.72403721869655e+17,3.41096718207615e+15,2.45803379178333e+16,1.35815272915565e+15
712,1023,341,1.0979776442912759,1.0979776442912759,215.04298541358332,55672498910,0.458835362483408,dw,81,81,1615,2.97124224683552e+15,1.03064580959591e+17,1.0670542924901e+18,4.71215644115115e+15,3.39570542495488e+16,1.87625028009282e+15
720,1023,341,1.0982347259231766,1.0982347259231766,217.18352211938205,70170670795,0.459110485752566,dw,82,82,1616,4.14045295045745e+15,1.42196559883589e+17,1.47937620311719e+18,6.49915360666067e+15,4.68516008041517e+16,2.60475216350499e+15
728,1023,341,1.0984861970732844,1.0984861970732844,219.32396601862456,88427512703,0.459381965691261,dw,83,83,1617,5.76899661506703e+15,1.96180990368355e+17,2.05103042029932e+18,8.96359311793377e+15,6.46408464536111e+16,3.61586197577224e+15
736,1023,341,1.098731620264693,1.098731620264693,221.4643184955504,111423897982,0.459649907702738,dw,84,84,1618,8.03654331951446e+15,2.70636244457665e+17,2.84341132839387e+18,1.23614300858395e+16,8.91765830996724e+16,5.01880516539959e+15
744,1023,341,1.0989684527063814,1.0989684527063814,223.6045808643813,140446122735,0.459914343607404,dw,85,85,1619,1.11901182768523e+16,3.73211578951242e+17,3.94057901677534e+18,1.70410151094809e+16,1.22980067265288e+17,6.96323463350852e+15
752,1023,341,1.0992036290426017,1.0992036290426017,225.744754320379,176906842152,0.460175574097691,dw,86,86,1620,1.55846056197385e+16,5.14828856707957e+17,5.46300249768998e+18,2.34996218596845e+16,1.69651317081012e+17,9.66368261853865e+15
760,1023,341,1.0994336648190375,1.0994336648190375,227.8848400230951,222802728329,0.460433582502316,dw,87,87,1621,2.17016929772627e+16,7.10148771947971e+17,7.57344666236632e+18,3.24044772331057e+16,2.34022934795745e+17,1.34102079411156e+16
768,1023,341,1.0996592681000241,1.0996592681000241,230.02483899837785,280544848148,0.460688467123702,dw,88,88,1622,3.0217190018999e+16,9.79579466011663e+17,1.04995693492753e+19,4.46841072481723e+16,3.22822257847762e+17,1.86086556294608e+16
776,1023,341,1.0998804622082317,1.0998804622082317,232.16475222685258,353182835055,0.460940298137029,dw,89,89,1623,4.20700353709427e+16,1.35122840183766e+18,1.4556594217618e+19,6.16169160499849e+16,4.45314944194147e+17,2.58211880575002e+16
784,1023,341,1.1000971398599733,1.1000971398599733,234.30458061946834,444560616933,0.461189134728853,dw,90,90,1624,5.85651991046905e+16,1.863826369613e+18,2.01812015789819e+19,8.49639062768805e+16,6.1426907697306e+17,3.58268168765436e+16
792,1023,341,1.1003090631069374,1.1003090631069374,236.44432501498704,559531706039,0.461435025836791,dw,91,91,1625,8.15150015848807e+16,2.57070480607929e+18,2.79779214210801e+19,1.17149139238309e+17,8.47266620600824e+17,4.97042692590736e+16
