d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
632,1023,341,1.104615037016776,1.104615037016776,191.5350681816428,1682981700,0.456136115678322,g,75,75,1609,255481755539389.0,9.43026585954554e+15,9.48894770648565e+16,432006677137245.0,3.10638743821403e+15,165245373891923.0
640,1023,341,1.104846713913326,1.104846713913326,193.67322878443767,2110887690,0.456453380704945,g,76,76,1610,357092318678520.0,1.30412765685071e+16,1.31838406088355e+17,597233004602067.0,4.29602330986604e+15,230004877751449.0
648,1023,341,1.105075568446358,1.105075568446358,195.81092710144316,2646095260,0.456765159636158,g,76,76,1610,493775568456466.0,1.80330503183124e+16,1.82301832062868e+17,825834247680464.0,5.94040039780595e+15,318043215490518.0
656,1023,341,1.105296568203046,1.105296568203046,197.94876668117058,3317324186,0.457071598287051,g,77,77,1611,690067091304181.0,2.49378025306729e+16,2.53292628363555e+17,1.14166607330238e+15,8.21522636559103e+15,442656427899226.0
664,1023,341,1.1055110018336167,1.1055110018336167,200.0864516590458,4158719541,0.457373002119528,g,78,78,1612,964138363512091.0,3.44813373061616e+16,3.51888871372475e+17,1.57805552660312e+15,1.13595276418925e+16,615977287799391.0
672,1023,341,1.105721758475391,1.105721758475391,202.22398572533007,5211604018,0.457669697940848,g,79,79,1613,1.34704014977002e+15,4.76818038638467e+16,4.88928584593852e+17,2.18146459772482e+15,1.57088233956267e+16,857207368035470.0
680,1023,341,1.1059276983427082,1.1059276983427082,204.36137235504896,6529787459,0.457961873525455,g,80,80,1614,1.88176433738647e+15,6.59345815998269e+16,6.79346451387583e+17,3.0155470343892e+15,2.17229615349342e+16,1.19283387913829e+15
688,1023,341,1.1061289791234596,1.1061289791234596,206.49861482047933,8179853095,0.458249734018039,g,81,81,1615,2.62841745435433e+15,9.11728903317857e+16,9.43936540385344e+17,4.1684632919988e+15,3.00390566211924e+16,1.65976671548255e+15
696,1023,341,1.1063257577720136,1.1063257577720136,208.63571620478245,10245030825,0.458533465875917,g,82,82,1616,3.67086976497864e+15,1.26069552922458e+17,1.31159499698017e+18,5.7620619671591e+15,4.15379976274837e+16,2.30933815132878e+15
704,1023,341,1.1065181296459727,1.1065181296459727,210.7726794155822,12829450433,0.45881323668784,g,83,83,1617,5.12611011664567e+15,1.74318937333803e+17,1.82246731772822e+18,7.96470659097482e+15,5.74373880007113e+16,3.2129168885264e+15
712,1023,341,1.1067063418916905,1.1067063418916905,212.90950719328768,16062970871,0.459089202687916,g,84,84,1618,7.1574200464692e+15,2.41031150380144e+17,2.5323685113208e+18,1.10092043285048e+16,7.94214923228691e+16,4.4697944466906e+15
720,1023,341,1.1068904752841493,1.1068904752841493,215.04620212769115,20108159789,0.459361501033489,g,85,85,1619,9.99248145211616e+15,3.33268128907954e+17,3.51883347088283e+18,1.52171785135606e+16,1.09817967131805e+17,6.21798547616771e+15
